"Iteration","Timestep","StratumIDSource","StateClassIDSource","StratumIDDest","StateClassIDDest","SecondaryStratumID","TertiaryStratumID","TransitionTypeID","Probability","Proportion","AgeMin","AgeMax","AgeRelative","AgeReset","TSTMin","TSTMax","TSTRelative"
"","","Wet","Agriculture:All","","Shrubland:All","O'ahu","","AGRICULTURAL CONTRACTION: Ag->Shrubland",1,,,,,,,,
"","","Dry","Forest:All","","Agriculture:All","Hawai'i","","AGRICULTURAL EXPANSION: Forest->Ag",1,,,,,,,,
"","","Dry","Forest:All","","Agriculture:All","Kaua'i","","AGRICULTURAL EXPANSION: Forest->Ag",1,,,,,,,,
"","","Dry","Forest:All","","Agriculture:All","Lana'i","","AGRICULTURAL EXPANSION: Forest->Ag",1,,,,,,,,
"","","Dry","Forest:All","","Agriculture:All","Maui","","AGRICULTURAL EXPANSION: Forest->Ag",1,,,,,,,,
"","","Dry","Forest:All","","Agriculture:All","Moloka'i","","AGRICULTURAL EXPANSION: Forest->Ag",1,,,,,,,,
"","","Dry","Forest:All","","Agriculture:All","O'ahu","","AGRICULTURAL EXPANSION: Forest->Ag",1,,,,,,,,
"","","Mesic","Forest:All","","Agriculture:All","Hawai'i","","AGRICULTURAL EXPANSION: Forest->Ag",1,,,,,,,,
"","","Mesic","Forest:All","","Agriculture:All","Kaua'i","","AGRICULTURAL EXPANSION: Forest->Ag",1,,,,,,,,
"","","Mesic","Forest:All","","Agriculture:All","Lana'i","","AGRICULTURAL EXPANSION: Forest->Ag",1,,,,,,,,
"","","Mesic","Forest:All","","Agriculture:All","Maui","","AGRICULTURAL EXPANSION: Forest->Ag",1,,,,,,,,
"","","Mesic","Forest:All","","Agriculture:All","Moloka'i","","AGRICULTURAL EXPANSION: Forest->Ag",1,,,,,,,,
"","","Mesic","Forest:All","","Agriculture:All","O'ahu","","AGRICULTURAL EXPANSION: Forest->Ag",1,,,,,,,,
"","","Wet","Forest:All","","Agriculture:All","Hawai'i","","AGRICULTURAL EXPANSION: Forest->Ag",1,,,,,,,,
"","","Wet","Forest:All","","Agriculture:All","Kaua'i","","AGRICULTURAL EXPANSION: Forest->Ag",1,,,,,,,,
"","","Wet","Forest:All","","Agriculture:All","Lana'i","","AGRICULTURAL EXPANSION: Forest->Ag",1,,,,,,,,
"","","Wet","Forest:All","","Agriculture:All","Maui","","AGRICULTURAL EXPANSION: Forest->Ag",1,,,,,,,,
"","","Wet","Forest:All","","Agriculture:All","Moloka'i","","AGRICULTURAL EXPANSION: Forest->Ag",1,,,,,,,,
"","","Wet","Forest:All","","Agriculture:All","O'ahu","","AGRICULTURAL EXPANSION: Forest->Ag",1,,,,,,,,
"","","Dry","Grassland:All","","Agriculture:All","Hawai'i","","AGRICULTURAL EXPANSION: Grassland->Ag",1,,,,,,,,
"","","Dry","Grassland:All","","Agriculture:All","Kaua'i","","AGRICULTURAL EXPANSION: Grassland->Ag",1,,,,,,,,
"","","Dry","Grassland:All","","Agriculture:All","Lana'i","","AGRICULTURAL EXPANSION: Grassland->Ag",1,,,,,,,,
"","","Dry","Grassland:All","","Agriculture:All","Maui","","AGRICULTURAL EXPANSION: Grassland->Ag",1,,,,,,,,
"","","Dry","Grassland:All","","Agriculture:All","Moloka'i","","AGRICULTURAL EXPANSION: Grassland->Ag",1,,,,,,,,
"","","Dry","Grassland:All","","Agriculture:All","O'ahu","","AGRICULTURAL EXPANSION: Grassland->Ag",1,,,,,,,,
"","","Mesic","Grassland:All","","Agriculture:All","Hawai'i","","AGRICULTURAL EXPANSION: Grassland->Ag",1,,,,,,,,
"","","Mesic","Grassland:All","","Agriculture:All","Kaua'i","","AGRICULTURAL EXPANSION: Grassland->Ag",1,,,,,,,,
"","","Mesic","Grassland:All","","Agriculture:All","Lana'i","","AGRICULTURAL EXPANSION: Grassland->Ag",1,,,,,,,,
"","","Mesic","Grassland:All","","Agriculture:All","Maui","","AGRICULTURAL EXPANSION: Grassland->Ag",1,,,,,,,,
"","","Mesic","Grassland:All","","Agriculture:All","Moloka'i","","AGRICULTURAL EXPANSION: Grassland->Ag",1,,,,,,,,
"","","Mesic","Grassland:All","","Agriculture:All","O'ahu","","AGRICULTURAL EXPANSION: Grassland->Ag",1,,,,,,,,
"","","Wet","Grassland:All","","Agriculture:All","Hawai'i","","AGRICULTURAL EXPANSION: Grassland->Ag",1,,,,,,,,
"","","Wet","Grassland:All","","Agriculture:All","Kaua'i","","AGRICULTURAL EXPANSION: Grassland->Ag",1,,,,,,,,
"","","Wet","Grassland:All","","Agriculture:All","Lana'i","","AGRICULTURAL EXPANSION: Grassland->Ag",1,,,,,,,,
"","","Wet","Grassland:All","","Agriculture:All","Maui","","AGRICULTURAL EXPANSION: Grassland->Ag",1,,,,,,,,
"","","Wet","Grassland:All","","Agriculture:All","Moloka'i","","AGRICULTURAL EXPANSION: Grassland->Ag",1,,,,,,,,
"","","Wet","Grassland:All","","Agriculture:All","O'ahu","","AGRICULTURAL EXPANSION: Grassland->Ag",1,,,,,,,,
